Winner,NumTricks,NAcesP1,NAcesP2,NShuffles,ArtificiallyEnded
Player 1,2466,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,1384,1,3,0,False
Player 1,1374,3,1,0,False
Player 1,366,2,2,0,False
Player 1,1727,3,1,0,False
Player 1,1267,4,0,0,False
Player 1,100001,2,2,0,True
Player 2,1580,2,2,0,False
Player 1,3928,2,2,0,False
Player 1,1925,2,2,0,False
Player 1,100001,4,0,0,True
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 1,1300,3,1,0,False
Player 2,20,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 1,2656,2,2,0,False
Player 2,2956,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,698,2,2,0,False
Player 1,100001,3,1,0,True
Player 2,1436,2,2,0,False
Player 1,447,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,1918,1,3,0,False
Player 1,1566,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,1,3,0,True
Player 2,2257,2,2,0,False
Player 1,201,2,2,0,False
Player 1,590,4,0,0,False
Player 1,100001,3,1,0,True
Player 1,1740,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,1666,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,0,4,0,True
Player 2,4892,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 2,1513,4,0,0,False
Player 2,1781,2,2,0,False
Player 1,2322,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,1282,2,2,0,False
Player 1,802,2,2,0,False
Player 1,2202,2,2,0,False
Player 1,1429,2,2,0,False
Player 1,3232,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,4600,1,3,0,False
Player 1,100001,4,0,0,True
Player 1,1654,3,1,0,False
Player 2,1218,0,4,0,False
Player 2,1180,2,2,0,False
Player 2,1082,0,4,0,False
Player 1,1913,3,1,0,False
Player 1,1122,1,3,0,False
Player 1,622,4,0,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,1178,3,1,0,False
Player 2,1024,1,3,0,False
Player 1,1530,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,2512,3,1,0,False
Player 1,100001,2,2,0,True
Player 2,2574,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,3986,1,3,0,False
Player 2,8338,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,1048,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,3851,2,2,0,False
Player 2,368,0,4,0,False
Player 1,3544,2,2,0,False
Player 1,100001,3,1,0,True
Player 2,3146,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,2338,1,3,0,False
Player 2,3542,2,2,0,False
Player 1,306,3,1,0,False
Player 1,56,4,0,0,False
Player 2,800,1,3,0,False
Player 1,1106,3,1,0,False
Player 1,1190,3,1,0,False
Player 1,100001,4,0,0,True
Player 1,100001,2,2,0,True
Player 1,1867,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,748,4,0,0,False
Player 2,1060,1,3,0,False
Player 2,700,1,3,0,False
Player 1,667,1,3,0,False
Player 2,1462,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 1,2040,3,1,0,False
Player 1,848,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 1,100001,4,0,0,True
Player 1,1423,2,2,0,False
Player 1,540,4,0,0,False
Player 1,598,1,3,0,False
Player 1,1493,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,952,4,0,0,False
Player 1,258,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,230,2,2,0,False
Player 2,850,2,2,0,False
Player 2,3315,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 2,546,0,4,0,False
Player 2,1278,2,2,0,False
Player 1,364,4,0,0,False
Player 1,100001,3,1,0,True
Player 2,2938,2,2,0,False
Player 2,2920,3,1,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 2,1434,0,4,0,False
Player 1,100001,3,1,0,True
Player 1,136,3,1,0,False
Player 1,974,2,2,0,False
Player 2,1982,0,4,0,False
Player 2,680,1,3,0,False
Player 1,781,3,1,0,False
Player 1,100001,2,2,0,True
Player 2,1230,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,70,1,3,0,False
Player 2,968,0,4,0,False
Player 1,100001,2,2,0,True
Player 1,234,3,1,0,False
Player 1,845,4,0,0,False
Player 1,2022,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,1987,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,225,3,1,0,False
Player 1,558,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,0,4,0,True
Player 1,3301,3,1,0,False
Player 1,100001,3,1,0,True
Player 2,1442,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,0,4,0,True
Player 1,184,3,1,0,False
Player 2,415,2,2,0,False
Player 1,894,2,2,0,False
Player 1,2300,4,0,0,False
Player 1,3384,4,0,0,False
Player 1,100001,1,3,0,True
Player 1,2410,2,2,0,False
Player 2,1486,2,2,0,False
Player 2,1329,1,3,0,False
Player 1,2434,2,2,0,False
Player 1,4216,2,2,0,False
Player 2,2070,2,2,0,False
Player 1,715,3,1,0,False
Player 2,5634,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 2,1350,2,2,0,False
Player 1,2939,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 1,6371,3,1,0,False
Player 1,100001,0,4,0,True
Player 1,1340,4,0,0,False
Player 1,100001,4,0,0,True
Player 1,100001,2,2,0,True
Player 2,742,2,2,0,False
Player 1,100001,3,1,0,True
Player 2,584,2,2,0,False
Player 1,100001,1,3,0,True
Player 2,854,2,2,0,False
Player 1,613,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,1913,3,1,0,False
Player 1,2386,1,3,0,False
Player 2,1976,3,1,0,False
Player 2,1362,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,543,2,2,0,False
Player 2,724,1,3,0,False
Player 1,1572,2,2,0,False
Player 1,1313,4,0,0,False
Player 1,100001,2,2,0,True
